,icsa_code,URL,YEAR,CVES,CVES_URL,ATTENTION,VENDOR,EQUIPMENT,VULNERABILITIES,CRITICAL INFRAESTRUCTURE SECTOR,COUNTRIES\/AREAS DEPLOYED,COMPANY HEADQUARTERS LOCATION,CWES
0,ICSA-21-257-01,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-01,21,['CVE-2021-38412'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-38412'],Exploitable remotely/low attack complexity,"Digi International, Inc.",PortServer TS 16,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices."," Critical Manufacturing, Communications, Information Technology, Transportation Systems",Worldwide,United States,['287']
1,ICSA-21-257-02,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-02-0,21,['CVE-2021-27662'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-27662'],Exploitable remotely/low attack complexity,"Sensormatic Electronics, LLC., a subsidiary of Johnson Controls, Inc.",KT-1,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Critical Manufacturing,Worldwide,Ireland,['294']
2,ICSA-21-257-03,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-03,21,"['CVE-2021-22794', 'CVE-2021-22795']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-22795', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-22794']",Exploitable remotely/low attack complexity,Schneider Electric,"Install physical controls so no unauthorized personnel can access industrial control and safety systems, components, peripheral equipment, and networks.","When remote access is required, use secure methods, such as virtual private networks (VPNs). Recognize VPNs may have vulnerabilities and should be updated to the most current version available. Also, understand VPNs are only as secure as the connected devices."," Commercial Facilities, Energy, Food and Agriculture, Government Facilities, Transportation Systems, Water and Wastewater Systems",Worldwide,France,"['78', '22']"
3,ICSA-21-257-04,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-04,21,['CVE-2021-37176'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37176'],Low attack complexity,Siemens,Simcenter Femap,Not Found, Critical Manufacturing,Worldwide,Germany,['125']
4,ICSA-21-257-05,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-05,21,['CVE-2021-25665'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-25665'],Low attack complexity,Siemens,Simcenter STAR-CCM+ Viewer,Not Found, Critical Manufacturing,Worldwide,Germany,['787']
5,ICSA-21-257-06,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-06,21,['CVE-2021-33716'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33716'],Exploitable remotely/low attack complexity,Siemens,SIMATIC CP 1543-1 (incl. SIPLUS variants) and SIMATIC CP 1545-1,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Critical Manufacturing,Worldwide,Germany,['312']
6,ICSA-21-257-07,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-07,21,['CVE-2021-27391'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-27391'],Exploitable remotely/low attack complexity,Siemens,APOGEE and TALON,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Critical Manufacturing,Worldwide,Germany,['120']
7,ICSA-21-257-08,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-08,21,['CVE-2021-40357'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-40357'],Exploitable remotely/low attack complexity,Siemens,Teamcenter Active Workspace,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Critical Manufacturing,Worldwide,Germany,['22']
8,ICSA-21-257-09,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-09,21,"['CVE-2021-37202', 'CVE-2021-37203']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37202', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37202']",Low attack complexity,Siemens,NX,Not Found, Critical Manufacturing,Worldwide,Germany,"['416', '125']"
9,ICSA-21-257-10,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-10,21,"['CVE-2021-33719', 'CVE-2021-33720']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33719', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33720']",Exploitable remotely/low attack complexity,Siemens,SIPROTEC 5 relays,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Energy,Worldwide,Germany,"['120', '120']"
10,ICSA-21-257-11,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-11,21,['CVE-2020-7461'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-7461'],Exploitable remotely/low attack complexity,Siemens,SIMATIC RFID terminals,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Multiple,Worldwide,Germany,['787']
11,ICSA-21-257-12,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-12,21,['CVE-2019-10941'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2019-10941'],Exploitable remotely/low attack complexity,Siemens,SINEMA Server,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Critical Manufacturing,Worldwide,Germany,['306']
12,ICSA-21-257-13,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-13,21,['CVE-2021-37186'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37186'],Low attack complexity,Siemens,"LOGO! CMR, SIMATIC RTU 3000","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Energy,Worldwide,Germany,['330']
13,ICSA-21-257-14,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-14,21,"['CVE-2021-37200', 'CVE-2021-37201']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37200', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37201']",Exploitable remotely/low attack complexity,Siemens,SINEC NMS,Not Found, Communications,Worldwide,Germany,"['22', '352']"
14,ICSA-21-257-15,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-15,21,['CVE-2021-33737'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-33737'],Exploitable remotely/low attack complexity,Siemens,"SIMATIC CP 343-1 (incl. SIPLUS variants), SIMATIC CP 343-1 Advanced (incl. SIPLUS variants), SIMATIC CP 343-1 ERPC, SIMATIC CP 343-1 Lean (incl. SIPLUS variants), SIMATIC CP 443-1 (incl. SIPLUS variants), SIMATIC CP 443-1 Advanced (incl. SIPLUS variants)","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Critical Manufacturing,Worldwide,Germany,['119']
15,ICSA-21-257-16,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-16,21,['CVE-2021-37206'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37206'],Exploitable remotely/low attack complexity,Siemens,SIPROTEC 5,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize VPN is only as secure as its connected devices.", Multiple Sectors,Worldwide,Germany,['20']
16,ICSA-21-257-17,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-17,21,['CVE-2021-37181'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37181'],Exploitable remotely/low attack complexity,Siemens,Desigo CC Family,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Commercial Facilities, Government Facilities",Worldwide,Germany,['502']
17,ICSA-21-257-18,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-18,21,['CVE-2021-31891'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-31891'],Exploitable remotely/low attack complexity,Siemens,Siveillance OIS,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices."," Commercial Facilities, Government Facilities",Worldwide,Germany,['78']
18,ICSA-21-257-19,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-19,21,"['CVE-2021-37193', 'CVE-2021-37192', 'CVE-2021-37183', 'CVE-2021-37191', 'CVE-2021-37190', 'CVE-2021-37177']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37177', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37183', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37190', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37191', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37192', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37193']",Exploitable remotely/low attack complexity,Siemens,SINEMA Remote Connect Server,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Germany,"['471', '284', '200', '799', '200', '471']"
19,ICSA-21-257-20,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-20,21,"['CVE-2020-36475', 'CVE-2020-36478']","['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36475', 'http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2020-36478']",Exploitable remotely/low attack complexity,Siemens,"LOGO! CMR2020, LOGO! CMR2040 and SIMATIC RTU 3000 family","When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Germany,"['131', '295']"
20,ICSA-21-257-21,https://us-cert.cisa.gov//ics/advisories/icsa-21-257-21,21,['CVE-2021-37184'],['http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2021-37184'],Exploitable remotely/low attack complexity,Siemens,Industrial Edge Management,"When remote access is required, use secure methods, such as Virtual Private Networks (VPNs), recognizing that VPNs may have vulnerabilities and should be updated to the most current version available. Also recognize that VPN is only as secure as the connected devices.", Critical Manufacturing,Worldwide,Germany,['639']
